property_type,society,sector,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Price_in_Crore,price,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 23,12000.0,Plot area 2000(185.81 sq.m.),2000.0,3,3,2,2.0,North-East,Moderately Old,,2.4,,2000.0,,0,0,1,1,0,0,28
house,international city by sobha phase 2,sector 109,26502.0,Plot area 270(225.75 sq.m.),2430.0,4,5,3+,3.0,North-East,New Property,,6.44,,2430.0,,1,1,1,1,0,0,138
flat,vatika gurgaon,sector 83,6666.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1154 sq.ft. (107.21 sq.m.)Carpet area: 945 sq.ft. (87.79 sq.m.),1245.0,2,2,2,12.0,North,Relatively New,0.83,,,1154.0,945.0,0,0,0,1,0,0,165
flat,sbtl caladium,sector 109,6542.0,Super Built up area 1880(174.66 sq.m.),1926.0,3,2,3,8.0,North-East,Relatively New,1.26,,1880.0,,,0,0,0,0,0,0,103
house,independent,sector 31,24155.0,Plot area 161(134.62 sq.m.),1449.0,4,4,3,2.0,North-East,Old Property,,3.5,,1449.0,,0,0,1,0,0,2,70
flat,lagoon apartment,ambience island,12000.0,Carpet area: 2500 (232.26 sq.m.),2500.0,3,4,3,2.0,,Moderately Old,3.0,,,,2500.0,0,0,0,0,0,0,0
flat,tulip violet,sector 69,8966.0,Super Built up area 1538(142.88 sq.m.),1539.0,3,3,1,12.0,West,Relatively New,1.38,,1538.0,,,0,0,0,1,0,0,86
flat,shapoorji pallonji joyville gurugram,sector 102,10383.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 858 sq.ft. (79.71 sq.m.),915.0,2,2,2,14.0,North-West,Undefined,0.95,,,915.0,858.0,0,0,0,0,0,0,0
flat,signature the serenas,sohna road,57.0,Carpet area: 48811 (4534.69 sq.m.),49123.0,1,1,2,1.0,North-West,Relatively New,0.28,,,,48811.0,1,0,0,0,0,0,37
flat,rof ananda,sector 95,5500.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 745 sq.ft. (69.21 sq.m.),1000.0,3,2,2,14.0,East,New Property,0.55,,,,745.0,1,0,0,0,0,1,30
flat,m3m golfestate,sector 65,18138.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3363.0,3,3,3,19.0,North-East,Moderately Old,6.1,,,,2710.0,1,1,0,0,0,2,174
flat,dlf the ultima,sector 81,10699.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),2103.0,3,3,3+,11.0,North-East,Relatively New,2.25,,,1600.0,1257.0,1,1,0,1,1,1,49
house,independent,sector 25,31926.0,Plot area 150(125.42 sq.m.),1350.0,5,4,3,3.0,North,Old Property,,4.31,,1350.0,,0,0,0,0,0,0,40
flat,shree vardhman victoria,sector 70,8358.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1950.0,3,3,3,5.0,East,New Property,1.63,,,,1161.0,0,1,0,0,1,0,49
flat,tulip violet,sector 69,8730.0,Super Built up area 1970(183.02 sq.m.),1970.0,4,4,1,12.0,North-East,Relatively New,1.72,,1970.0,,,0,0,0,0,0,0,86
flat,sidhartha ncr greens,sector 95,5656.0,Super Built up area 990(91.97 sq.m.),990.0,2,2,3,13.0,,New Property,0.56,,990.0,,,0,0,0,0,0,0,8
flat,proxima tower,sector 37c,4602.0,Super Built up area 1304(121.15 sq.m.),1304.0,2,2,3,5.0,,Under Construction,0.6,,1304.0,,,1,0,0,1,0,0,55
flat,unitech south park,sector 70,7000.0,Super Built up area 1610(149.57 sq.m.),1614.0,3,3,2,1.0,,Under Construction,1.13,,1610.0,,,0,0,0,0,0,0,46
flat,bptp park generations,sector 37d,9868.0,Super Built up area 1520(141.21 sq.m.),1520.0,3,2,3+,17.0,North-East,Relatively New,1.5,,1520.0,,,0,0,0,0,0,0,42
flat,dlf new town heights,sector 91,6345.0,Super Built up area 2364(219.62 sq.m.),2600.0,4,4,3+,11.0,West,Moderately Old,1.65,,2364.0,,,0,1,0,0,0,0,72
house,independent,sector 3 phase 3 extension,8500.0,Built Up area: 1000 (92.9 sq.m.),1000.0,1,1,0,1.0,,Undefined,,0.85,,1000.0,,0,0,0,0,0,0,0
flat,pareena mi casa,sector 68,8504.0,Super Built up area 1999(185.71 sq.m.),1999.0,4,4,3,2.0,,New Property,1.7,,1999.0,,,0,0,0,0,0,0,47
flat,orris aster court,sector 85,5671.0,Built Up area: 1587 (147.44 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1640.0,3,3,3,8.0,,Relatively New,0.93,,,1587.0,1250.0,0,0,0,0,0,0,0
flat,breez global hill view,sohna road,5776.0,Carpet area: 554 (51.47 sq.m.),554.0,2,2,2,19.0,North,Relatively New,0.32,,,,554.0,0,0,0,0,0,2,21
house,independent,shivpuri,14890.0,Plot area 181.33(151.61 sq.m.)Built Up area: 345 sq.yards (288.46 sq.m.),1632.0,4,4,2,3.0,South-West,Old Property,,2.43,,345.0,,1,0,1,1,0,0,38
flat,ansal maple crescent,sector 43,10037.0,Super Built up area 1345(124.95 sq.m.)Built Up area: 1320 sq.ft. (122.63 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),1345.0,3,3,3,2.0,South,Old Property,1.35,,,1320.0,1300.0,0,0,0,0,1,2,93
flat,m3m heights,sector 65,13608.0,Carpet area: 1433 (133.13 sq.m.),1653.0,2,2,3,5.0,,Under Construction,2.25,,,,1433.0,0,0,0,0,0,0,48
flat,breez global hill view,sohna road,5403.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),555.0,2,2,2,6.0,North-East,New Property,0.2999,,,,555.0,0,0,0,0,0,0,109
flat,paras dews,sector 106,6052.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),1900.0,3,4,3,5.0,North-West,Relatively New,1.15,,,1305.0,1173.0,1,1,0,0,0,0,49
flat,godrej frontier,sector 80,6189.0,Super Built up area 2262(210.15 sq.m.)Built Up area: 1854 sq.ft. (172.24 sq.m.)Carpet area: 1576 sq.ft. (146.42 sq.m.),2262.0,3,4,2,10.0,North-West,Moderately Old,1.4,,,1854.0,1576.0,0,0,1,1,0,0,111
flat,the penthouses at the hibiscus,sector 50,8888.0,Carpet area: 9000 (836.13 sq.m.),9001.0,4,3,3,7.0,South-East,Moderately Old,8.0,,,,9000.0,0,1,0,0,0,0,35
flat,adani aangan galleria,sector 89,4941.0,Super Built up area 850(78.97 sq.m.),850.0,2,2,2,3.0,,Relatively New,0.42,,850.0,,,0,0,0,0,0,0,0
flat,ss,sector 85,7432.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2812.0,4,4,3,8.0,South-East,Relatively New,2.09,,,2600.0,2400.0,1,1,0,1,0,0,49
house,unitech aspen greens,sector 50,32407.0,Plot area 240(200.67 sq.m.),2160.0,4,4,2,2.0,East,Old Property,,7.0,,2160.0,,0,1,0,0,0,0,29
flat,assotech blith,sector 99,6667.0,Built Up area: 2400 (222.97 sq.m.),2400.0,3,4,0,15.0,,Undefined,1.6,,,2400.0,,0,0,0,0,0,0,51
flat,chintamani,sector 103,8509.0,Built Up area: 1845 (171.41 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),1845.0,3,3,3,1.0,North-East,Undefined,1.57,,,1845.0,1350.0,0,0,0,0,0,0,0
flat,ats kocoon,sector 109,10645.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),1550.0,3,3,3,19.0,East,Relatively New,1.65,,,1650.0,1550.0,0,0,1,0,0,2,159
flat,dlf the ultima,sector 81,11257.0,Super Built up area 2132(198.07 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),2132.0,3,3,2,10.0,North-West,Relatively New,2.4,,,1800.0,1400.0,0,1,0,0,0,1,174
flat,ireo uptown,sector 66,11219.0,Super Built up area 1337(124.21 sq.m.)Built Up area: 1330 sq.ft. (123.56 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),1337.0,2,3,3,1.0,South,Relatively New,1.5,,,1330.0,1050.0,0,1,0,0,1,2,79
flat,ild greens,sector 37c,9223.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1030 sq.ft. (95.69 sq.m.),1030.0,2,2,3+,11.0,South-West,Relatively New,0.95,,,,1030.0,0,0,1,1,0,2,119
flat,dlf regal gardens,sector 90,9000.0,Super Built up area 2215(205.78 sq.m.),2278.0,4,4,3+,5.0,,Relatively New,2.05,,2215.0,,,0,0,0,0,0,2,49
house,independent,sector 39,33333.0,Plot area 500(418.06 sq.m.),4500.0,5,5,3+,4.0,,Moderately Old,,15.0,,4500.0,,0,1,0,0,0,2,27
flat,the close north,sector 50,11358.0,Super Built up area 2069(192.22 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2069.0,3,3,3,8.0,North-West,Moderately Old,2.35,,,1900.0,1800.0,0,0,0,0,0,2,49
flat,brisk lumbini terrace homes,sector 109,6616.0,Carpet area: 2267 (210.61 sq.m.),2267.0,3,3,1,4.0,North,New Property,1.5,,,,2267.0,0,1,0,0,0,0,37
flat,piedmont taksila heights,sector 37c,4792.0,Super Built up area 1920(178.37 sq.m.),2191.0,3,3,3,7.0,,Relatively New,1.05,,1920.0,,,0,0,0,0,0,2,81
flat,sobha city,sector 108,14463.0,Built Up area: 1711 (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),1611.0,3,3,3,17.0,North-East,Relatively New,2.33,,,1711.0,1611.0,0,0,1,0,0,2,159
flat,m3m sierra 68,sector 68,9000.0,Super Built up area 1250(116.13 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),1333.0,2,2,3,1.0,North,Relatively New,1.2,,,,750.0,0,0,0,0,0,1,76
flat,dlf the primus,sector 82a,11438.0,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),2273.0,4,4,3+,2.0,East,Relatively New,2.6,,,,1340.0,0,0,0,0,1,0,38
flat,emaar palm gardens,sector 83,12000.0,Carpet area: 1500 (139.35 sq.m.),1500.0,3,4,3+,6.0,South-West,Relatively New,1.8,,,,1500.0,0,1,0,0,0,2,96
flat,sare green parc,sector 92,4820.0,Built Up area: 1556 (144.56 sq.m.)Carpet area: 1261 sq.ft. (117.15 sq.m.),1556.0,3,2,2,16.0,,Undefined,0.75,,,1556.0,1261.0,0,0,0,0,0,0,0
flat,mvn athens,sohna road,4666.0,Carpet area: 450 (41.81 sq.m.),450.0,1,1,1,11.0,,New Property,0.21,,,,450.0,0,0,0,0,0,0,16
flat,milan cghs 9,sector 39,8333.0,Built Up area: 2400 (222.97 sq.m.),2400.0,3,3,3+,0.0,,Undefined,2.0,,,2400.0,,0,0,0,0,0,0,0
flat,vatika gurgaon,sector 83,8875.0,Super Built up area 2390(222.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1600.0,4,4,3,7.0,South-West,Relatively New,1.42,,,2000.0,1600.0,1,1,0,0,0,0,103
house,independent,new sector 7,12777.0,Carpet area: 900 (83.61 sq.m.),900.0,2,2,3,4.0,North,Undefined,,1.15,,,900.0,0,0,0,0,0,0,0
house,unitech aspen greens,sector 50,37037.0,Plot area 360(301.01 sq.m.),3240.0,3,4,2,1.0,East,Moderately Old,,12.0,,3240.0,,1,1,0,0,0,2,101
flat,supertech new soft launch,sector 68,7119.0,Built Up area: 1180 (109.63 sq.m.),1180.0,2,2,2,7.0,East,Undefined,0.84,,,1180.0,,0,0,0,0,0,0,0
flat,microtek greenburg,sector 86,8707.0,Super Built up area 1895(176.05 sq.m.),1895.0,3,4,3,8.0,North-West,Relatively New,1.65,,1895.0,,,0,1,0,0,0,0,124
flat,suncity avenue 76,sector 76,7422.0,Carpet area: 741 (68.84 sq.m.),741.0,2,2,2,9.0,North-East,Under Construction,0.55,,,,741.0,0,0,0,0,0,0,26
house,independent,sector 26,1859.0,Plot area 502(419.74 sq.m.)Carpet area: 11000 sq.yards (9197.4 sq.m.),98978.0,6,8,3+,4.0,South,Relatively New,,18.4,,,11000.0,0,1,1,1,0,2,60
flat,vatika lifestyle homes,sector 83,5699.0,Super Built up area 1755(163.04 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1825.0,3,2,2,2.0,South-West,Moderately Old,1.04,,,1500.0,1100.0,0,0,0,0,0,0,95
flat,sidhartha ncr one,sector 95,5556.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),990.0,2,2,3,15.0,North-East,Undefined,0.55,,,990.0,950.0,0,0,0,0,0,0,0
flat,tulip violet,sector 69,8111.0,Super Built up area 1578(146.6 sq.m.),1578.0,3,3,2,12.0,South-West,Relatively New,1.28,,1578.0,,,0,0,0,1,0,2,49
flat,eldeco accolade,sohna road,7424.0,Super Built up area 1751(162.67 sq.m.)Carpet area: 1290 sq.ft. (119.84 sq.m.),1751.0,3,3,3+,10.0,East,Relatively New,1.3,,,,1290.0,0,0,0,0,0,0,49
flat,ireo skyon,sector 60,13392.0,Super Built up area 2800(260.13 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),2800.0,4,4,3,12.0,North,Relatively New,3.75,,,2650.0,2350.0,0,1,0,0,0,2,49
flat,umang monsoon breeze,sector 78,5719.0,Built Up area: 1224 (113.71 sq.m.),1224.0,2,2,2,5.0,,Undefined,0.7,,,1224.0,,0,0,0,0,0,0,0
flat,ss,sector 85,7121.0,Super Built up area 1671(155.24 sq.m.)Built Up area: 1670 sq.ft. (155.15 sq.m.)Carpet area: 1660 sq.ft. (154.22 sq.m.),1671.0,2,2,3,11.0,West,Relatively New,1.19,,,1670.0,1660.0,0,0,0,0,0,0,49
flat,gls arawali homes,sohna road,4687.0,Carpet area: 576 (53.51 sq.m.),576.0,2,2,2,1.0,East,New Property,0.27,,,,576.0,0,0,0,0,0,0,35
flat,ats marigold,sector 89,8571.0,Carpet area: 1750 (162.58 sq.m.),1750.0,3,3,3,2.0,,New Property,1.5,,,,1750.0,0,0,0,0,1,0,49
flat,vatika gurgaon,sector 83,7179.0,Carpet area: 1950 (181.16 sq.m.),1950.0,4,4,3,10.0,North-East,Relatively New,1.4,,,,1950.0,0,1,0,0,0,0,35
house,independent,sector 4,11111.0,Built Up area: 990 (91.97 sq.m.),990.0,6,4,1,2.0,North,Undefined,,1.1,,990.0,,0,0,0,0,0,0,0
house,ansal sushant lok 2,sector 56,22222.0,Plot area 170(142.14 sq.m.),1530.0,6,6,3+,2.0,West,Moderately Old,,3.4,,1530.0,,0,0,0,0,0,2,29
flat,ireo skyon,sector 60,13392.0,Super Built up area 2800(260.13 sq.m.),2800.0,4,5,3,15.0,South,Relatively New,3.75,,2800.0,,,0,1,0,0,0,0,167
house,independent,sector 7,13889.0,Plot area 160(133.78 sq.m.),1440.0,2,2,2,2.0,North-West,Old Property,,2.0,,1440.0,,0,0,0,0,0,0,22
house,"om nagar, sector-11",near khandsa road,8333.0,Plot area 720(66.89 sq.m.),720.0,4,2,1,0.0,East,Old Property,,0.6,,720.0,,0,0,0,0,1,0,7
flat,shree vardhman victoria,sector 70,9111.0,Super Built up area 1350(125.42 sq.m.),1350.0,2,2,3,1.0,North-East,Relatively New,1.23,,1350.0,,,1,0,0,0,0,0,43
flat,conscient habitat,sector 99a,6422.0,Carpet area: 545 (50.63 sq.m.),545.0,2,2,1,3.0,North-East,Relatively New,0.35,,,,545.0,0,0,0,0,0,0,62
flat,signature the serenas,sohna road,8474.0,Carpet area: 531 (49.33 sq.m.),531.0,2,2,1,10.0,,New Property,0.45,,,,531.0,0,0,0,0,0,0,23
flat,signature global the millennia,sector 37d,9166.0,Super Built up area 850(78.97 sq.m.)Built Up area: 610 sq.ft. (56.67 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),600.0,2,2,3,3.0,,New Property,0.55,,,610.0,600.0,0,0,0,0,0,0,71
flat,smart world gems,sector 89,9972.0,Carpet area: 1103 (102.47 sq.m.),1103.0,2,2,2,3.0,,New Property,1.1,,,,1103.0,0,0,1,0,0,0,77
flat,trisara our homes 3,sohna road,5980.0,Super Built up area 602(55.93 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),602.0,2,2,1,1.0,,New Property,0.36,,,,450.0,0,0,0,0,0,0,45
flat,shree vardhman victoria,sector 70,8518.0,Carpet area: 1350 (125.42 sq.m.),1350.0,2,2,2,6.0,South-West,Relatively New,1.15,,,,1350.0,1,0,0,0,0,0,85
flat,experion windchants,sector 112,10416.0,Built Up area: 4800 (445.93 sq.m.),6240.0,4,5,3,11.0,South,Relatively New,6.5,,,4800.0,,0,0,0,0,0,0,55
flat,bestech park view residency,sector 2,8051.0,Super Built up area 1565(145.39 sq.m.),1565.0,2,2,3,7.0,South-East,Moderately Old,1.26,,1565.0,,,1,0,0,0,0,0,84
flat,m3m latitude,sector 65,19747.0,Super Built up area 2380(221.11 sq.m.)Carpet area: 1231 sq.ft. (114.36 sq.m.),2380.0,3,3,3+,9.0,North-East,Relatively New,4.7,,,,1231.0,0,1,0,1,0,2,44
flat,signature the roselia,sector 95,6194.0,Built Up area: 670 (62.25 sq.m.)Carpet area: 569.25 sq.ft. (52.89 sq.m.),670.0,2,2,2,12.0,North,New Property,0.415,,,670.0,569.25,1,0,0,0,0,2,90
flat,ireo the grand arch,sector 58,16000.0,Super Built up area 1375(127.74 sq.m.),1375.0,2,2,2,6.0,North-East,Relatively New,2.2,,1375.0,,,0,0,0,0,0,0,42
flat,ss the leaf,sector 85,7179.0,Carpet area: 1741 (161.74 sq.m.),1741.0,2,2,2,16.0,North,Relatively New,1.25,,,,1741.0,0,0,0,0,0,2,49
flat,conscient heritage max,sector 102,9062.0,Super Built up area 1931(179.4 sq.m.),1931.0,3,4,3+,16.0,South,Relatively New,1.75,,1931.0,,,0,1,0,0,0,0,134
flat,imperia the esfera,sector 37c,5454.0,Super Built up area 1815(168.62 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1270 sq.ft. (117.99 sq.m.),1815.0,3,5,3+,5.0,North-West,Relatively New,0.99,,,1400.0,1270.0,0,1,0,0,0,0,49
flat,smart world gems,sector 89,10500.0,Super Built up area 1103(102.47 sq.m.),1105.0,3,2,3,1.0,,New Property,1.16,,1103.0,,,1,0,0,0,0,0,49
flat,experion windchants,sector 112,11204.0,Super Built up area 4739(440.27 sq.m.)Built Up area: 3573.33 sq.ft. (331.97 sq.m.)Carpet area: 3400 sq.ft. (315.87 sq.m.),4739.0,4,6,3+,15.0,South,Relatively New,5.31,,,3573.33,3400.0,0,1,0,1,0,0,72
flat,ats tourmaline,sector 109,8897.0,Super Built up area 2585(240.15 sq.m.),2585.0,3,4,3+,10.0,East,New Property,2.3,,2585.0,,,0,1,0,0,1,0,74
flat,supertech araville,sector 79,5883.0,Super Built up area 1530(142.14 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1530.0,2,2,3,5.0,,Relatively New,0.9,,,1450.0,1400.0,1,0,0,0,0,0,53
flat,emaar gurgaon greens,sector 102,8181.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),1650.0,3,3,3,5.0,North-West,Relatively New,1.35,,,,1022.58,0,1,0,0,0,0,119
flat,microtek greenburg,sector 86,8756.0,Super Built up area 1480(137.5 sq.m.),1485.0,2,2,3,10.0,,Relatively New,1.3,,1480.0,,,1,0,0,0,0,0,38
flat,silverglades the melia,sohna road,5555.0,Built Up area: 1350 (125.42 sq.m.),1350.0,2,2,2,4.0,,Moderately Old,0.75,,,1350.0,,0,0,0,0,0,0,70
flat,m3m heights,sector 65,15000.0,Super Built up area 1828(169.83 sq.m.),1867.0,3,3,3,20.0,North-East,Under Construction,2.8,,1828.0,,,0,0,0,0,0,0,91
flat,palam vihar society,sector 2,7444.0,Carpet area: 4500 (418.06 sq.m.),4500.0,4,4,3+,2.0,,New Property,3.35,,,,4500.0,1,0,0,0,0,0,66
flat,shapoorji pallonji joyville gurugram,sector 102,11447.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1320 sq.ft. (122.63 sq.m.),1852.0,3,3,3,9.0,South-East,New Property,2.12,,,,1320.0,0,0,0,0,0,0,109
flat,vipul lavanya,sector 81,5966.0,Carpet area: 1257 (116.78 sq.m.),1257.0,2,2,2,7.0,,Moderately Old,0.75,,,,1257.0,0,0,0,0,0,0,37
flat,the lions cghs,sector 56,7884.0,Built Up area: 2600 (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2600.0,4,4,3+,7.0,West,Old Property,2.05,,,2600.0,2400.0,0,0,1,0,0,2,120
flat,professional society,imt manesar,3067.0,Carpet area: 2445 (227.15 sq.m.),2445.0,3,4,3,3.0,East,Relatively New,0.75,,,,2445.0,0,1,0,0,0,0,21
flat,shree vardhman victoria,sector 70,8461.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1950.0,3,4,3,5.0,South-East,Relatively New,1.65,,,,1161.0,0,1,0,0,1,2,49
flat,smart world gems,sector 89,7706.0,Carpet area: 1103 (102.47 sq.m.),1103.0,2,2,2,2.0,North-East,Under Construction,0.85,,,,1103.0,1,0,0,0,0,0,45
flat,chd avenue,sector 71,6019.0,Super Built up area 2193(203.74 sq.m.),2193.0,4,4,3,14.0,South,Moderately Old,1.32,,2193.0,,,0,1,0,0,0,0,65
flat,smart world orchard,sector 61,14202.0,Carpet area: 1549 (143.91 sq.m.),1549.0,3,3,2,4.0,North,New Property,2.2,,,,1549.0,0,0,0,0,0,0,152
house,international city by sobha phase 2,sector 109,26389.0,Plot area 400(334.45 sq.m.),3600.0,5,5,3+,2.0,South,Relatively New,,9.5,,3600.0,,1,1,1,1,0,0,133
flat,pgr shree kripaluji apartment,sector 52,6086.0,Carpet area: 2300 (213.68 sq.m.),2300.0,3,3,3+,8.0,North-East,Relatively New,1.4,,,,2300.0,0,0,0,0,0,2,80
flat,dlf trinity towers,sector 43,15510.0,Built Up area: 2450 (227.61 sq.m.),2450.0,3,3,3+,1.0,South-East,Moderately Old,3.8,,,2450.0,,0,1,0,1,0,2,68
flat,vatika city,sector 49,12785.0,Carpet area: 1400 (130.06 sq.m.),1400.0,3,3,3,9.0,,Old Property,1.79,,,,1400.0,0,1,0,0,0,0,38
