property_type,society,sector,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Price_in_Crore,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,emaar emerald hills,sector 65,,Plot area 400(334.45 sq.m.),3600.0,4.0,4,3+,2.0,East,Relatively New,,,3600.0,,1,1,0,0,0,0,56,900.0
flat,emaar gurgaon greens,sector 102,8485.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),1650.0,3.0,3,3,9.0,South-West,Relatively New,1.4,,,1200.0,0,1,0,0,0,0,49,550.0
flat,vipul lavanya,sector 81,5261.0,Carpet area: 1225 (113.81 sq.m.),1225.0,2.0,2,3,12.0,East,Relatively New,0.6445000000000001,,,1225.0,0,0,0,0,0,2,93,612.5
flat,tulip violet,sector 69,10139.0,Super Built up area 1578(146.6 sq.m.),1578.0,3.0,3,2,0.0,North-West,Relatively New,1.6,1578.0,,,0,0,0,1,0,0,166,526.0
house,independent,sohna road  road,,Built Up area: 2674 (248.42 sq.m.),2674.0,4.0,3,0,1.0,North,Undefined,,,2674.0,,0,0,0,0,0,0,0,668.5
flat,sahara grace,sector 28,12421.0,Super Built up area 3462.01(321.63 sq.m.),3462.0,3.0,4,3,5.0,,Old Property,4.3,3462.01,,,0,1,1,0,0,0,24,1154.0
flat,dlf park place,sector 54,25867.0,Super Built up area 1875(174.19 sq.m.),1875.0,3.0,4,3+,25.0,South-East,Relatively New,4.85,1875.0,,,0,1,0,0,0,2,26,625.0
flat,tata primanti,sector 72,19286.0,Super Built up area 4250(394.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),3500.0,4.0,4,3+,0.0,North-East,New Property,6.75,,4000.0,3500.0,0,1,0,0,0,2,174,875.0
house,independent,sector 26,,Plot area 270(225.75 sq.m.),2430.0,3.0,3,3,2.0,North-East,Moderately Old,,,2430.0,,0,0,0,0,0,0,27,810.0
flat,m3m woodshire,sector 107,6227.0,Super Built up area 1943(180.51 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1943.0,3.0,3,3,7.0,East,Moderately Old,1.21,,,1500.0,0,0,0,0,0,2,126,647.6666666666666
flat,eldeco accolade,sohna road,6529.0,Super Built up area 1751(162.67 sq.m.)Carpet area: 1062 sq.ft. (98.66 sq.m.),1746.0,3.0,3,3+,4.0,East,Relatively New,1.14,,,1062.0,0,0,0,0,0,0,157,582.0
flat,bptp astaire gardens,sector 70a,7059.0,Super Built up area 1700(157.94 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.),1700.0,3.0,3,3+,2.0,,Relatively New,1.2,,1450.0,,0,0,0,0,0,1,38,566.6666666666666
flat,lotus homz,sector 111,8451.0,Carpet area: 710 (65.96 sq.m.),710.0,2.0,2,3,9.0,East,New Property,0.6,,,710.0,0,0,0,0,0,0,52,355.0
house,unitech aspen greens,sector 50,,Plot area 240(200.67 sq.m.)Built Up area: 2160 sq.yards (1806.04 sq.m.)Carpet area: 1720 sq.yards (1438.14 sq.m.),15479.0,3.0,3,1,2.0,North-East,Moderately Old,,,2160.0,1720.0,0,1,0,0,0,0,160,5159.666666666667
house,independent,sector 6,,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),1080.0,2.0,5,1,2.0,South,New Property,,,120.0,,0,0,0,1,0,0,0,540.0
house,independent,sector 67,,Carpet area: 180 (150.5 sq.m.),1736.0,5.0,3,2,2.0,,New Property,,,,180.0,0,0,0,0,0,0,0,347.2
flat,m3m heights,sector 65,15980.0,Carpet area: 1433 (133.13 sq.m.),1433.0,2.0,2,3,8.0,,Under Construction,2.29,,,1433.0,1,0,0,0,0,0,15,716.5
house,independent,sector 2,,Plot area 173(144.65 sq.m.),1557.0,3.0,9,3+,3.0,West,New Property,,,1557.0,,0,1,0,1,0,2,116,519.0
house,independent,sector 23,,Plot area 342(285.96 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),3191.0,7.0,7,3+,2.0,West,Moderately Old,,,5000.0,4000.0,0,1,0,1,0,0,68,455.85714285714283
flat,ansals highland park,dwarka expressway,6186.0,Built Up area: 1940 (180.23 sq.m.),1940.0,3.0,3,3+,4.0,,Under Construction,1.2,,1940.0,,0,1,0,0,0,0,0,646.6666666666666
flat,breez global heights,sohna road,4842.0,Super Built up area 950(88.26 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),950.0,2.0,2,2,4.0,North-East,Relatively New,0.46,,800.0,700.0,0,0,0,0,0,1,93,475.0
flat,signature global park,sohna road,7908.0,Carpet area: 822 (76.37 sq.m.),822.0,2.0,1,2,3.0,,New Property,0.65,,,822.0,0,0,0,0,0,0,87,411.0
flat,vatika xpressions,sector 88b,7360.0,Super Built up area 1350(125.42 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1250.0,2.0,2,2,3.0,North,Relatively New,0.92,,1300.0,1250.0,0,0,0,1,0,0,174,625.0
flat,godrej oasis,sector 88a,7269.0,Carpet area: 1307 (121.42 sq.m.),1307.0,2.0,2,2,6.0,North-West,Relatively New,0.95,,,1307.0,0,0,0,0,0,0,79,653.5
flat,m3m the marina,sector 68,8095.0,Super Built up area 1260(117.06 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),1260.0,2.0,2,2,11.0,North-East,Relatively New,1.02,,1250.0,800.0,0,0,0,0,1,2,49,630.0
house,independent,sector 67,,Carpet area: 2520 (234.12 sq.m.),2520.0,4.0,4,0,3.0,North-East,Undefined,,,,2520.0,0,0,0,0,0,0,0,630.0
flat,m3m heights,sector 65,13991.0,Built Up area: 1358 (126.16 sq.m.),1358.0,2.0,2,2,40.0,,Undefined,1.9,,1358.0,,0,0,0,0,0,0,48,679.0
flat,shree shyam residency,block a sector 21,5000.0,Carpet area: 460 (42.74 sq.m.),460.0,1.0,1,1,2.0,South,Relatively New,0.23,,,460.0,0,0,0,0,0,0,9,460.0
flat,cghs airport apartment,sector 47,6000.0,Super Built up area 3000(278.71 sq.m.)Carpet area: 2700 sq.ft. (250.84 sq.m.),3000.0,4.0,4,3+,4.0,North-West,Moderately Old,1.8,,,2700.0,0,0,1,0,0,2,120,750.0
flat,la vida by tata housing,sector 113,13990.0,Super Built up area 1276(118.54 sq.m.)Built Up area: 1090 sq.ft. (101.26 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),965.0,2.0,2,3,10.0,North-East,New Property,1.35,,1090.0,965.0,0,0,0,0,0,0,174,482.5
house,independent,sector 15 part 2,,Plot area 130(108.7 sq.m.)Built Up area: 130 sq.yards (108.7 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),1170.0,2.0,4,2,2.0,North,Old Property,,,130.0,100.0,0,0,0,0,1,0,13,585.0
flat,unitech heritage city,sector 14,13108.0,Built Up area: 3250 (301.93 sq.m.),3250.0,4.0,4,0,9.0,,Undefined,4.26,,3250.0,,0,0,0,0,0,0,0,812.5
flat,avl 36 gurgaon,sector 36a,8333.0,Built Up area: 600 (55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),600.0,1.0,1,1,5.0,,Undefined,0.5,,600.0,500.0,0,0,0,0,0,0,0,600.0
flat,sbtl caladium,sector 109,6680.0,Super Built up area 2545(236.44 sq.m.),2545.0,3.0,3,3+,9.0,North-East,Relatively New,1.7,2545.0,,,0,1,0,0,0,0,159,848.3333333333334
flat,smart world gems,sector 89,7797.0,Super Built up area 1103(102.47 sq.m.),1103.0,2.0,3,3,4.0,,Under Construction,0.86,1103.0,,,0,0,0,0,0,0,45,551.5
flat,signature global park,sohna road,7356.0,Carpet area: 745 (69.21 sq.m.),745.0,2.0,2,3,4.0,East,New Property,0.5479999999999999,,,745.0,0,0,0,0,0,0,80,372.5
flat,radhakrishna society,sector 23,5000.0,Super Built up area 1100(102.19 sq.m.),1100.0,2.0,2,1,1.0,West,Moderately Old,0.55,1100.0,,,0,0,0,0,0,2,29,550.0
flat,aipl peaceful homes,sector 70a,12791.0,Built Up area: 2150 (199.74 sq.m.),2150.0,3.0,3,3+,14.0,North-East,Undefined,2.75,,2150.0,,0,0,0,0,0,0,0,716.6666666666666
flat,park royal apartment,sector 56,9024.0,Carpet area: 2050 (190.45 sq.m.),2050.0,3.0,4,3,7.0,,Old Property,1.85,,,2050.0,0,1,0,0,0,0,72,683.3333333333334
flat,paras dews,sector 106,6000.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),1900.0,3.0,4,3,8.0,South,Relatively New,1.14,,1305.0,1173.0,1,1,0,0,0,0,49,633.3333333333334
flat,eldeco accolade,sohna road,5608.0,Super Built up area 1275(118.45 sq.m.),1275.0,2.0,2,3,10.0,North-East,Relatively New,0.715,1275.0,,,0,0,0,0,0,0,159,637.5
flat,ild grand,sector 37c,5038.0,Built Up area: 1310 (121.7 sq.m.),1310.0,2.0,2,3+,14.0,,Undefined,0.66,,1310.0,,0,0,0,0,0,0,60,655.0
house,independent,saraswati enclave,,Plot area 540(50.17 sq.m.),540.0,2.0,2,1,2.0,,Relatively New,,,540.0,,0,0,0,0,0,0,0,270.0
flat,antriksh heights,sector 84,4458.0,Super Built up area 1200(111.48 sq.m.),1200.0,2.0,2,3+,17.0,North-West,Relatively New,0.535,1200.0,,,0,0,0,0,0,0,81,600.0
flat,indiabulls enigma,sector 110,10588.0,Super Built up area 3400(315.87 sq.m.),3400.0,4.0,5,3,7.0,North,Relatively New,3.6,3400.0,,,0,1,0,0,0,0,165,850.0
house,dlf city plots,sector 26,,Plot area 502(419.74 sq.m.),4518.0,5.0,5,3,2.0,East,Old Property,,,4518.0,,1,1,1,1,0,2,110,903.6
flat,shree balaji appartment,sector 33,5000.0,Super Built up area 800(74.32 sq.m.),800.0,2.0,2,2,1.0,,Relatively New,0.4,800.0,,,0,0,0,0,0,1,0,400.0
flat,la vida by tata housing,sector 113,10825.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 1940 sq.ft. (180.23 sq.m.)Carpet area: 1730 sq.ft. (160.72 sq.m.),2217.0,3.0,4,3+,5.0,North-East,Relatively New,2.4,,1940.0,1730.0,0,1,0,0,0,0,49,739.0
flat,sare petioles,sector 92,6373.0,Built Up area: 2040 (189.52 sq.m.),2040.0,4.0,4,0,7.0,,Undefined,1.3,,2040.0,,0,0,0,0,0,0,0,510.0
flat,gls arawali homes,sohna road,5291.0,Super Built up area 567(52.68 sq.m.)Carpet area: 467 sq.ft. (43.39 sq.m.),567.0,2.0,2,2,10.0,,Relatively New,0.3,,,467.0,0,0,0,0,0,0,42,283.5
flat,emaar digihomes,sector 62,13926.0,Super Built up area 1508(140.1 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),1508.0,2.0,2,3,12.0,North-East,New Property,2.1,,1500.0,1200.0,0,0,0,0,1,2,49,754.0
flat,mvn athens,sohna road,4259.0,Built Up area: 587 (54.53 sq.m.),587.0,2.0,2,1,0.0,,Relatively New,0.25,,587.0,,0,0,0,0,0,0,38,293.5
house,eros rosewood villas,sector 49,,Plot area 1530(142.14 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),1850.0,3.0,3,2,2.0,East,Moderately Old,,,1900.0,1850.0,0,0,1,1,0,0,59,616.6666666666666
flat,parsvnath exotica,sector 53,17241.0,Carpet area: 2900 (269.42 sq.m.),2900.0,3.0,4,3,7.0,,Old Property,5.0,,,2900.0,0,1,0,0,0,2,24,966.6666666666666
flat,vatika gurgaon,sector 83,6574.0,Super Built up area 1445(134.24 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),1445.0,2.0,2,3,5.0,South,Relatively New,0.95,,1300.0,1200.0,0,0,0,0,0,2,96,722.5
flat,ss the leaf,sector 85,7317.0,Super Built up area 1640(152.36 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),1640.0,2.0,2,3+,14.0,East,Relatively New,1.2,,,1148.0,0,0,1,0,0,0,141,820.0
flat,smart world orchard,sector 61,14800.0,Carpet area: 1250 (116.13 sq.m.),1250.0,2.0,2,2,3.0,,New Property,1.85,,,1250.0,0,0,0,0,0,0,44,625.0
flat,dlf regal gardens,sector 90,8117.0,Super Built up area 1702(158.12 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1540 sq.ft. (143.07 sq.m.),1540.0,3.0,3,3,8.0,South-East,Relatively New,1.25,,1640.0,1540.0,0,0,0,1,0,0,158,513.3333333333334
flat,emaar palm heights,sector 77,11250.0,Super Built up area 2000(185.81 sq.m.),2000.0,3.0,3,3,22.0,,New Property,2.25,2000.0,,,0,1,0,0,0,2,42,666.6666666666666
house,independent,hira nagar,,Built Up area: 1080 (100.34 sq.m.),1080.0,3.0,2,0,1.0,,Undefined,,,1080.0,,0,0,0,0,0,0,0,360.0
flat,raheja vedaanta,sector 108,4080.0,Super Built up area 1838(170.76 sq.m.),1961.0,3.0,3,3,9.0,North-East,Relatively New,0.8,1838.0,,,0,0,0,1,0,0,174,653.6666666666666
flat,experion the heartsong,sector 108,8240.0,Built Up area: 2779 (258.18 sq.m.),2779.0,4.0,5,3+,8.0,South,Relatively New,2.29,,2779.0,,0,1,0,0,0,0,95,694.75
flat,godrej,sector 79,8453.0,Carpet area: 2366 (219.81 sq.m.),2366.0,3.0,4,3+,2.0,North-East,Relatively New,2.0,,,2366.0,0,1,0,0,0,2,156,788.6666666666666
house,independent,sector 25,,Carpet area: 10000 (929.03 sq.m.),10000.0,3.0,9,2,3.0,,New Property,,,,10000.0,0,0,0,0,0,0,0,3333.3333333333335
flat,alpha corp gurgaonone,sector 84,7586.0,Carpet area: 2900 (269.42 sq.m.),2900.0,4.0,4,3,10.0,South,Relatively New,2.2,,,2900.0,0,1,0,0,0,0,21,725.0
house,independent,sector 10a,,Built Up area: 2367 (219.9 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2367.0,4.0,3,2,1.0,North-East,Undefined,,,2367.0,1800.0,0,0,0,0,0,0,0,591.75
flat,eden landmark,manesar,3846.0,Built Up area: 1300 (120.77 sq.m.),1300.0,2.0,2,0,7.0,,Under Construction,0.5,,1300.0,,0,0,0,0,0,0,0,650.0
house,dlf new town heights,sector 86,,Plot area 3194(296.73 sq.m.),3194.0,4.0,5,3+,4.0,West,Moderately Old,,,3194.0,,0,1,0,1,1,2,49,798.5
flat,paras dews,sector 106,7220.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),1385.0,2.0,2,3+,2.0,North-East,New Property,1.0,,940.0,845.0,0,0,0,0,0,2,21,692.5
house,independent,sector 26,,Plot area 502(419.74 sq.m.),4518.0,5.0,4,3+,4.0,North,Moderately Old,,,4518.0,,1,1,1,1,0,2,113,903.6
flat,bestech altura,sector 79,12500.0,Super Built up area 2150(199.74 sq.m.),2152.0,3.0,4,3+,3.0,,New Property,2.69,2150.0,,,0,1,0,0,0,0,49,717.3333333333334
house,independent,sector 14,,Plot area 502(419.74 sq.m.),4518.0,3.0,3,2,1.0,West,Old Property,,,4518.0,,1,1,0,1,0,2,27,1506.0
flat,vatika gurgaon,sector 83,6747.0,Super Built up area 1245(115.66 sq.m.),1245.0,2.0,2,2,7.0,East,Moderately Old,0.84,1245.0,,,0,0,0,0,0,2,157,622.5
flat,dlf the ultima,sector 81,10755.0,Super Built up area 2092(194.35 sq.m.)Built Up area: 2090 sq.ft. (194.17 sq.m.)Carpet area: 2087 sq.ft. (193.89 sq.m.),2092.0,3.0,4,3+,11.0,West,Relatively New,2.25,,2090.0,2087.0,0,1,0,0,0,1,174,697.3333333333334
flat,ss the leaf,sector 85,10925.0,Super Built up area 2812(261.24 sq.m.)Carpet area: 1968 sq.ft. (182.83 sq.m.),1968.0,4.0,5,3+,6.0,South,Relatively New,2.15,,,1968.0,0,1,0,0,0,0,156,492.0
house,independent,sector 4,,Plot area 250(209.03 sq.m.)Carpet area: 190 sq.yards (158.86 sq.m.),2250.0,4.0,3,2,2.0,North-East,Moderately Old,,,,190.0,0,0,1,1,0,2,46,562.5
flat,m3m woodshire,sector 107,8836.0,Super Built up area 1943(180.51 sq.m.)Carpet area: 1460 sq.ft. (135.64 sq.m.),1460.0,3.0,3,3+,1.0,East,Relatively New,1.29,,,1460.0,0,0,0,1,0,2,174,486.6666666666667
flat,emaar mgf emerald floors premier,sector 65,16207.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),1450.0,3.0,3,3,2.0,South-East,Relatively New,2.35,,1500.0,1450.0,1,1,0,0,0,2,64,483.3333333333333
flat,emaar mgf emerald floors premier,sector 65,17722.0,Super Built up area 1975(183.48 sq.m.),1975.0,4.0,4,3,4.0,East,Relatively New,3.5,1975.0,,,0,1,0,0,0,2,114,493.75
flat,ild greens,sector 37c,4320.0,Super Built up area 1875(174.19 sq.m.),2315.0,3.0,3,3+,5.0,North,Under Construction,1.0,1875.0,,,0,0,0,0,0,0,51,771.6666666666666
flat,signature global park,sohna road,6326.0,Carpet area: 822 (76.37 sq.m.),822.0,2.0,2,2,3.0,North-West,Relatively New,0.52,,,822.0,0,0,0,1,0,0,161,411.0
flat,shree vardhman flora,sector 90,5000.0,Super Built up area 1300(120.77 sq.m.),1300.0,2.0,2,2,12.0,East,Old Property,0.65,1300.0,,,1,0,0,0,0,0,103,650.0
house,independent,sector 9b,,Built Up area: 450 (41.81 sq.m.),450.0,1.0,1,0,1.0,,Undefined,,,450.0,,0,0,0,0,0,0,0,450.0
flat,ats triumph,sector 104,8734.0,Super Built up area 2290(212.75 sq.m.),2290.0,3.0,4,3+,4.0,,Relatively New,2.0,2290.0,,,0,1,0,0,0,0,60,763.3333333333334
flat,umang winter hills,sector 77,5306.0,Super Built up area 1342(124.68 sq.m.)Carpet area: 810 sq.ft. (75.25 sq.m.),1342.0,2.0,2,2,6.0,North-West,Relatively New,0.7120000000000001,,,810.0,1,0,0,0,0,0,108,671.0
flat,mapsko mount ville,sector 79,8725.0,Super Built up area 1490(138.43 sq.m.)Built Up area: 1176 sq.ft. (109.25 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),1490.0,3.0,3,3,19.0,East,Relatively New,1.3,,1176.0,863.91,0,0,1,0,0,2,102,496.6666666666667
flat,shri banke bihari society,sector 56,9643.0,Super Built up area 1500(139.35 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1400.0,3.0,3,3+,4.0,,Old Property,1.35,,1450.0,1400.0,0,0,0,0,1,2,174,466.6666666666667
flat,krisumi waterfall residences,sector 36a,15551.0,Built Up area: 1479 (137.4 sq.m.),1479.0,2.0,2,2,23.0,,Undefined,2.3,,1479.0,,0,0,0,0,0,0,58,739.5
flat,apartment,sector 92,4688.0,Carpet area: 1600 (148.64 sq.m.),1600.0,3.0,4,3,2.0,East,Moderately Old,0.75,,,1600.0,1,0,0,0,0,0,113,533.3333333333334
flat,vatika the seven lamps,sector 82,6598.0,Super Built up area 2425(225.29 sq.m.),2425.0,4.0,5,3+,8.0,South-West,Relatively New,1.6,2425.0,,,0,1,0,0,0,0,133,606.25
house,vipul tatvam villa,sector 48,,Plot area 360(301.01 sq.m.),3370.0,4.0,4,3+,2.0,North-East,Relatively New,,,3240.0,,1,1,1,1,0,2,145,842.5
flat,pareena laxmi apartments,sector 99a,5905.0,Carpet area: 525 (48.77 sq.m.),525.0,2.0,2,2,6.0,East,New Property,0.31,,,525.0,0,0,0,0,0,0,74,262.5
house,dlf city plots phase 3,sector 24,,Plot area 60(50.17 sq.m.),4860.0,4.0,2,2,1.0,,Old Property,,,540.0,,0,0,0,0,0,0,8,1215.0
flat,ramsons kshitij,sector 95,4500.0,Super Built up area 700(65.03 sq.m.)Carpet area: 443.32 sq.ft. (41.19 sq.m.),700.0,2.0,2,1,8.0,,Relatively New,0.315,,,443.32,0,0,0,0,1,1,28,350.0
flat,signature global park,sohna road,6289.0,Carpet area: 1439 (133.69 sq.m.),1439.0,3.0,3,3,1.0,West,Relatively New,0.905,,,1439.0,0,0,0,1,0,0,165,479.6666666666667
flat,vatika the seven lamps,sector 82,6022.0,Super Built up area 1430(132.85 sq.m.),1428.0,2.0,2,2,12.0,East,Relatively New,0.86,1430.0,,,1,0,0,0,0,2,135,714.0
house,ansals palam vihar,sector 2,,Plot area 173(144.65 sq.m.),1557.0,3.0,3,3,2.0,,Moderately Old,,,1557.0,,1,0,0,1,0,2,15,519.0
flat,vasant appartments,sector 14,7391.0,Carpet area: 2300 (213.68 sq.m.),2300.0,5.0,5,2,2.0,North-West,Old Property,1.7,,,2300.0,1,0,1,1,0,1,71,460.0
house,the laburnum,sector 43,,Plot area 450(376.26 sq.m.)Built Up area: 360 sq.yards (301.01 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),4050.0,5.0,6,3+,3.0,East,New Property,,,360.0,350.0,0,1,0,1,0,2,160,810.0
house,vipul tatvam villa,sector 48,,Plot area 360(301.01 sq.m.),3240.0,4.0,6,3,3.0,North,Old Property,,,3240.0,,0,1,0,1,1,0,49,810.0
flat,krrish florence estate,sector 70,7765.0,Super Built up area 2125(197.42 sq.m.),2125.0,3.0,4,3+,27.0,North-East,New Property,1.65,2125.0,,,1,1,0,0,0,0,81,708.3333333333334
flat,godrej nature plus,sector 33,13363.0,Carpet area: 76.44,898.0,2.0,2,0,11.0,,Under Construction,1.2,,,76.44,0,0,0,0,0,0,56,449.0
house,ss aaron ville,sector 49,,Plot area 384(321.07 sq.m.),3456.0,5.0,5,2,2.0,North-East,Relatively New,,,3456.0,,1,1,0,1,0,2,28,691.2
flat,green homes,sector 52,7872.0,Super Built up area 2350(218.32 sq.m.),2350.0,3.0,3,3,7.0,,Moderately Old,1.85,2350.0,,,0,1,0,0,0,0,28,783.3333333333334
house,international city by sobha phase 1,sector 109,,Plot area 270(225.75 sq.m.)Built Up area: 270 sq.yards (225.75 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),2250.0,5.0,5,3+,3.0,West,Relatively New,,,270.0,250.0,0,1,1,1,0,2,130,450.0
flat,ats kocoon,sector 109,10023.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),2195.0,3.0,4,3,8.0,North-East,Relatively New,2.2,,1860.0,,0,1,0,0,0,0,156,731.6666666666666
flat,smart world gems,sector 89,8433.0,Built Up area: 1423 (132.2 sq.m.),1423.0,3.0,3,2,3.0,East,New Property,1.2,,1423.0,,1,0,0,0,1,0,37,474.3333333333333
flat,emaar mgf emerald floors premier,sector 65,14430.0,Super Built up area 1975(183.48 sq.m.),1975.0,4.0,4,3+,0.0,West,Relatively New,2.85,1975.0,,,1,1,0,0,0,2,151,493.75
flat,floor type society,near pataudi chowk,6667.0,Carpet area: 600 (55.74 sq.m.),600.0,2.0,2,1,1.0,East,Relatively New,0.4,,,600.0,0,0,0,0,0,0,7,300.0
house,independent,tekchand nagar,,Plot area 100(83.61 sq.m.)Built Up area: 250 sq.yards (209.03 sq.m.)Carpet area: 170 sq.yards (142.14 sq.m.),900.0,1.0,5,3,3.0,West,New Property,,,250.0,170.0,0,0,0,0,1,0,14,900.0
flat,the close north,sector 50,12500.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2200.0,3.0,3,3,3.0,South-East,Moderately Old,2.75,,2400.0,2200.0,0,1,0,0,0,0,110,733.3333333333334
flat,zara aavaas,sector 104,7030.0,Super Built up area 569(52.86 sq.m.),569.0,2.0,2,1,14.0,,Relatively New,0.4,569.0,,,0,0,0,0,0,0,38,284.5
house,sushant lok 1 builder floors,sector 43,,Plot area 60(50.17 sq.m.)Built Up area: 540 sq.yards (451.51 sq.m.)Carpet area: 500 sq.yards (418.06 sq.m.),4860.0,4.0,4,3+,4.0,West,Moderately Old,,,540.0,500.0,0,0,0,0,1,1,49,1215.0
flat,zara aavaas,sector 104,6645.0,Carpet area: 301 (27.96 sq.m.),301.0,1.0,2,2,3.0,,New Property,0.2,,,301.0,0,0,0,0,0,0,67,301.0
flat,dlf regal gardens,sector 90,7449.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2214 sq.ft. (205.69 sq.m.)Carpet area: 2213 sq.ft. (205.59 sq.m.),2215.0,4.0,4,3+,15.0,East,Relatively New,1.65,,2214.0,2213.0,0,0,0,0,0,0,158,553.75
flat,conscient heritage max,sector 102,13875.0,Super Built up area 2149(199.65 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1600.0,3.0,4,3+,15.0,East,Relatively New,2.22,,2000.0,1600.0,1,1,0,0,0,0,82,533.3333333333334
house,independent,west sector 13,,Plot area 70(58.53 sq.m.),630.0,2.0,3,3,3.0,,Moderately Old,,,630.0,,0,0,0,0,0,0,0,315.0
flat,puri emerald bay,sector 104,10465.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),2150.0,3.0,4,3+,4.0,North,Relatively New,2.25,,,2150.0,0,1,0,0,0,2,159,716.6666666666666
flat,tata primanti,sector 72,13425.0,Super Built up area 2905(269.88 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),2905.0,4.0,4,3+,39.0,East,Relatively New,3.9,,,2150.0,0,1,0,0,1,0,49,726.25
flat,shree vardhman flora,sector 90,4815.0,Super Built up area 1350(125.42 sq.m.),1350.0,2.0,2,3,6.0,West,Relatively New,0.65,1350.0,,,1,0,0,0,0,0,174,675.0
flat,ramprasta awho,sector 95,5257.0,Built Up area: 1750 (162.58 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1750.0,3.0,3,3+,13.0,North-East,Undefined,0.92,,1750.0,1600.0,0,0,0,0,0,0,0,583.3333333333334
flat,eldeco accolade,sohna road,6725.0,Super Built up area 1264(117.43 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),1264.0,2.0,2,3,10.0,,New Property,0.85,,,730.0,0,0,0,0,0,0,72,632.0
flat,siddhi vinayak apartments,sector 55,9600.0,Super Built up area 1850(171.87 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1500.0,3.0,3,2,6.0,South,Moderately Old,1.44,,1700.0,1500.0,0,0,0,0,1,2,47,500.0
flat,tulip violet,sector 69,8358.0,Super Built up area 2010(186.74 sq.m.),2010.0,4.0,4,2,2.0,North-West,Relatively New,1.68,2010.0,,,0,0,0,1,0,0,112,502.5
flat,bptp astaire gardens,sector 70a,6588.0,Super Built up area 1480(137.5 sq.m.),1480.0,3.0,3,3+,1.0,West,Relatively New,0.975,1480.0,,,0,0,0,0,1,0,149,493.3333333333333
flat,adani m2k oyster grande,sector 102,8468.0,Super Built up area 2598(241.36 sq.m.),2775.0,3.0,3,3,14.0,East,Relatively New,2.35,2598.0,,,1,1,0,0,0,2,165,925.0
