property_type,society,sector,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Price_in_Crore,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,rof ananda,sector 95,5500.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 745 sq.ft. (69.21 sq.m.),1000.0,3.0,2,2,14.0,East,New Property,0.55,,,745.0,1,0,0,0,0,1,30,333.3333333333333
flat,m3m golfestate,sector 65,18139.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3363.0,3.0,3,3,19.0,North-East,Moderately Old,6.1,,,2710.0,1,1,0,0,0,2,174,1121.0
flat,dlf the ultima,sector 81,10699.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),2103.0,3.0,3,3+,11.0,North-East,Relatively New,2.25,,1600.0,1257.0,1,1,0,1,1,1,49,701.0
house,independent,sector 25,,Plot area 150(125.42 sq.m.),1350.0,2.0,4,3,3.0,North,Old Property,,,1350.0,,0,0,0,0,0,0,40,675.0
flat,shree vardhman victoria,sector 70,8359.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1950.0,3.0,3,3,5.0,East,New Property,1.63,,,1161.0,0,1,0,0,1,0,49,650.0
flat,tulip violet,sector 69,8731.0,Super Built up area 1970(183.02 sq.m.),1970.0,4.0,4,1,12.0,North-East,Relatively New,1.72,1970.0,,,0,0,0,0,0,0,86,492.5
flat,sidhartha ncr greens,sector 95,5657.0,Super Built up area 990(91.97 sq.m.),990.0,2.0,2,3,13.0,,New Property,0.56,990.0,,,0,0,0,0,0,0,8,495.0
flat,proxima tower,sector 37c,4601.0,Super Built up area 1304(121.15 sq.m.),1304.0,2.0,2,3,5.0,,Under Construction,0.6,1304.0,,,1,0,0,1,0,0,55,652.0
flat,unitech south park,sector 70,7001.0,Super Built up area 1610(149.57 sq.m.),1614.0,3.0,3,2,1.0,,Under Construction,1.13,1610.0,,,0,0,0,0,0,0,46,538.0
flat,bptp park generations,sector 37d,9868.0,Super Built up area 1520(141.21 sq.m.),1520.0,3.0,2,3+,17.0,North-East,Relatively New,1.5,1520.0,,,0,0,0,0,0,0,42,506.6666666666667
flat,dlf new town heights,sector 91,6346.0,Super Built up area 2364(219.62 sq.m.),2600.0,4.0,4,3+,11.0,West,Moderately Old,1.65,2364.0,,,0,1,0,0,0,0,72,650.0
house,independent,sector 3 phase 3 extension,,Built Up area: 1000 (92.9 sq.m.),1000.0,1.0,1,0,1.0,,Undefined,,,1000.0,,0,0,0,0,0,0,0,1000.0
flat,pareena mi casa,sector 68,8504.0,Super Built up area 1999(185.71 sq.m.),1999.0,4.0,4,3,2.0,,New Property,1.7,1999.0,,,0,0,0,0,0,0,47,499.75
flat,orris aster court,sector 85,5671.0,Built Up area: 1587 (147.44 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1640.0,3.0,3,3,8.0,,Relatively New,0.93,,1587.0,1250.0,0,0,0,0,0,0,0,546.6666666666666
flat,breez global hill view,sohna road,5776.0,Carpet area: 554 (51.47 sq.m.),554.0,2.0,2,2,19.0,North,Relatively New,0.32,,,554.0,0,0,0,0,0,2,21,277.0
house,independent,shivpuri,,Plot area 181.33(151.61 sq.m.)Built Up area: 345 sq.yards (288.46 sq.m.),1632.0,4.0,4,2,3.0,South-West,Old Property,,,345.0,,1,0,1,1,0,0,38,408.0
flat,ansal maple crescent,sector 43,10037.0,Super Built up area 1345(124.95 sq.m.)Built Up area: 1320 sq.ft. (122.63 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),1345.0,3.0,3,3,2.0,South,Old Property,1.35,,1320.0,1300.0,0,0,0,0,1,2,93,448.3333333333333
flat,m3m heights,sector 65,13612.0,Carpet area: 1433 (133.13 sq.m.),1653.0,2.0,2,3,5.0,,Under Construction,2.25,,,1433.0,0,0,0,0,0,0,48,826.5
flat,breez global hill view,sohna road,5404.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),555.0,2.0,2,2,6.0,North-East,New Property,0.2999,,,555.0,0,0,0,0,0,0,109,277.5
flat,paras dews,sector 106,6053.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),1900.0,3.0,4,3,5.0,North-West,Relatively New,1.15,,1305.0,1173.0,1,1,0,0,0,0,49,633.3333333333334
flat,godrej frontier,sector 80,6189.0,Super Built up area 2262(210.15 sq.m.)Built Up area: 1854 sq.ft. (172.24 sq.m.)Carpet area: 1576 sq.ft. (146.42 sq.m.),2262.0,3.0,4,2,10.0,North-West,Moderately Old,1.4,,1854.0,1576.0,0,0,1,1,0,0,111,754.0
flat,the penthouses at the hibiscus,sector 50,8888.0,Carpet area: 9000 (836.13 sq.m.),9001.0,4.0,3,3,7.0,South-East,Moderately Old,8.0,,,9000.0,0,1,0,0,0,0,35,2250.25
flat,adani aangan galleria,sector 89,4941.0,Super Built up area 850(78.97 sq.m.),850.0,2.0,2,2,3.0,,Relatively New,0.42,850.0,,,0,0,0,0,0,0,0,425.0
flat,ss,sector 85,7432.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2812.0,4.0,4,3,8.0,South-East,Relatively New,2.09,,2600.0,2400.0,1,1,0,1,0,0,49,703.0
house,unitech aspen greens,sector 50,,Plot area 240(200.67 sq.m.),2160.0,4.0,4,2,2.0,East,Old Property,,,2160.0,,0,1,0,0,0,0,29,540.0
flat,assotech blith,sector 99,6667.0,Built Up area: 2400 (222.97 sq.m.),2400.0,3.0,4,0,15.0,,Undefined,1.6,,2400.0,,0,0,0,0,0,0,51,800.0
flat,chintamani,sector 103,8509.0,Built Up area: 1845 (171.41 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),1845.0,3.0,3,3,1.0,North-East,Undefined,1.57,,1845.0,1350.0,0,0,0,0,0,0,0,615.0
flat,ats kocoon,sector 109,10645.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),1550.0,3.0,3,3,19.0,East,Relatively New,1.65,,1650.0,1550.0,0,0,1,0,0,2,159,516.6666666666666
flat,dlf the ultima,sector 81,11257.0,Super Built up area 2132(198.07 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),2132.0,3.0,3,2,10.0,North-West,Relatively New,2.4,,1800.0,1400.0,0,1,0,0,0,1,174,710.6666666666666
flat,ireo uptown,sector 66,11219.0,Super Built up area 1337(124.21 sq.m.)Built Up area: 1330 sq.ft. (123.56 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),1337.0,2.0,3,3,1.0,South,Relatively New,1.5,,1330.0,1050.0,0,1,0,0,1,2,79,668.5
flat,ild greens,sector 37c,9223.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1030 sq.ft. (95.69 sq.m.),1030.0,2.0,2,3+,11.0,South-West,Relatively New,0.95,,,1030.0,0,0,1,1,0,2,119,515.0
flat,dlf regal gardens,sector 90,8999.0,Super Built up area 2215(205.78 sq.m.),2278.0,4.0,4,3+,5.0,,Relatively New,2.05,2215.0,,,0,0,0,0,0,2,49,569.5
house,independent,sector 39,,Plot area 500(418.06 sq.m.),4500.0,5.0,5,3+,4.0,,Moderately Old,,,4500.0,,0,1,0,0,0,2,27,900.0
flat,the close north,sector 50,11358.0,Super Built up area 2069(192.22 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2069.0,3.0,3,3,8.0,North-West,Moderately Old,2.35,,1900.0,1800.0,0,0,0,0,0,2,49,689.6666666666666
flat,brisk lumbini terrace homes,sector 109,6617.0,Carpet area: 2267 (210.61 sq.m.),2267.0,3.0,3,1,4.0,North,New Property,1.5,,,2267.0,0,1,0,0,0,0,37,755.6666666666666
flat,piedmont taksila heights,sector 37c,4792.0,Super Built up area 1920(178.37 sq.m.),2191.0,3.0,3,3,7.0,,Relatively New,1.05,1920.0,,,0,0,0,0,0,2,81,730.3333333333334
flat,sobha city,sector 108,14463.0,Built Up area: 1711 (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),1611.0,3.0,3,3,17.0,North-East,Relatively New,2.33,,1711.0,1611.0,0,0,1,0,0,2,159,537.0
flat,m3m sierra 68,sector 68,9002.0,Super Built up area 1250(116.13 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),1333.0,2.0,2,3,1.0,North,Relatively New,1.2,,,750.0,0,0,0,0,0,1,76,666.5
flat,dlf the primus,sector 82a,11439.0,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),2273.0,4.0,4,3+,2.0,East,Relatively New,2.6,,,1340.0,0,0,0,0,1,0,38,568.25
flat,emaar palm gardens,sector 83,12000.0,Carpet area: 1500 (139.35 sq.m.),1500.0,3.0,4,3+,6.0,South-West,Relatively New,1.8,,,1500.0,0,1,0,0,0,2,96,500.0
flat,sare green parc,sector 92,4820.0,Built Up area: 1556 (144.56 sq.m.)Carpet area: 1261 sq.ft. (117.15 sq.m.),1556.0,3.0,2,2,16.0,,Undefined,0.75,,1556.0,1261.0,0,0,0,0,0,0,0,518.6666666666666
flat,mvn athens,sohna road,4667.0,Carpet area: 450 (41.81 sq.m.),450.0,1.0,1,1,11.0,,New Property,0.21,,,450.0,0,0,0,0,0,0,16,450.0
flat,milan cghs 9,sector 39,8333.0,Built Up area: 2400 (222.97 sq.m.),2400.0,3.0,3,3+,0.0,,Undefined,2.0,,2400.0,,0,0,0,0,0,0,0,800.0
flat,vatika gurgaon,sector 83,8875.0,Super Built up area 2390(222.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1600.0,4.0,4,3,7.0,South-West,Relatively New,1.42,,2000.0,1600.0,1,1,0,0,0,0,103,400.0
house,independent,new sector 7,,Carpet area: 900 (83.61 sq.m.),900.0,2.0,2,3,4.0,North,Undefined,,,,900.0,0,0,0,0,0,0,0,450.0
house,unitech aspen greens,sector 50,,Plot area 360(301.01 sq.m.),3240.0,3.0,4,2,1.0,East,Moderately Old,,,3240.0,,1,1,0,0,0,2,101,1080.0
flat,supertech new soft launch,sector 68,7119.0,Built Up area: 1180 (109.63 sq.m.),1180.0,2.0,2,2,7.0,East,Undefined,0.84,,1180.0,,0,0,0,0,0,0,0,590.0
flat,microtek greenburg,sector 86,8707.0,Super Built up area 1895(176.05 sq.m.),1895.0,3.0,4,3,8.0,North-West,Relatively New,1.65,1895.0,,,0,1,0,0,0,0,124,631.6666666666666
flat,suncity avenue 76,sector 76,7422.0,Carpet area: 741 (68.84 sq.m.),741.0,2.0,2,2,9.0,North-East,Under Construction,0.55,,,741.0,0,0,0,0,0,0,26,370.5
house,independent,sector 26,,Plot area 502(419.74 sq.m.)Carpet area: 11000 sq.yards (9197.4 sq.m.),11000.0,6.0,8,3+,4.0,South,Relatively New,,,,11000.0,0,1,1,1,0,2,60,1833.3333333333333
flat,vatika lifestyle homes,sector 83,5699.0,Super Built up area 1755(163.04 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1825.0,3.0,2,2,2.0,South-West,Moderately Old,1.04,,1500.0,1100.0,0,0,0,0,0,0,95,608.3333333333334
flat,sidhartha ncr one,sector 95,5556.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),990.0,2.0,2,3,15.0,North-East,Undefined,0.55,,990.0,950.0,0,0,0,0,0,0,0,495.0
flat,tulip violet,sector 69,8112.0,Super Built up area 1578(146.6 sq.m.),1578.0,3.0,3,2,12.0,South-West,Relatively New,1.28,1578.0,,,0,0,0,1,0,2,49,526.0
flat,eldeco accolade,sohna road,7424.0,Super Built up area 1751(162.67 sq.m.)Carpet area: 1290 sq.ft. (119.84 sq.m.),1751.0,3.0,3,3+,10.0,East,Relatively New,1.3,,,1290.0,0,0,0,0,0,0,49,583.6666666666666
flat,ireo skyon,sector 60,13393.0,Super Built up area 2800(260.13 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),2800.0,4.0,4,3,12.0,North,Relatively New,3.75,,2650.0,2350.0,0,1,0,0,0,2,49,700.0
flat,umang monsoon breeze,sector 78,5719.0,Built Up area: 1224 (113.71 sq.m.),1224.0,2.0,2,2,5.0,,Undefined,0.7,,1224.0,,0,0,0,0,0,0,0,612.0
flat,ss,sector 85,7121.0,Super Built up area 1671(155.24 sq.m.)Built Up area: 1670 sq.ft. (155.15 sq.m.)Carpet area: 1660 sq.ft. (154.22 sq.m.),1671.0,2.0,2,3,11.0,West,Relatively New,1.19,,1670.0,1660.0,0,0,0,0,0,0,49,835.5
flat,gls arawali homes,sohna road,4688.0,Carpet area: 576 (53.51 sq.m.),576.0,2.0,2,2,1.0,East,New Property,0.27,,,576.0,0,0,0,0,0,0,35,288.0
flat,ats marigold,sector 89,8571.0,Carpet area: 1750 (162.58 sq.m.),1750.0,3.0,3,3,2.0,,New Property,1.5,,,1750.0,0,0,0,0,1,0,49,583.3333333333334
